countyfips,state,priv_schools,priv_enrollment
1001,AL,6,625
1003,AL,9,1707
1005,AL,2,346
1007,AL,1,120
1009,AL,2,135
1011,AL,1,100
1013,AL,1,481
1015,AL,6,887
1017,AL,4,497
1021,AL,1,167
1023,AL,2,543
1025,AL,1,196
1027,AL,2,237
1031,AL,2,217
1035,AL,1,230
1041,AL,1,172
1043,AL,5,572
1045,AL,1,60
1047,AL,3,653
1049,AL,2,386
1051,AL,5,1407
1053,AL,3,337
1055,AL,5,896
1065,AL,1,192
1067,AL,1,215
1069,AL,5,1123
1071,AL,2,106
1073,AL,52,6552
1077,AL,4,859
1079,AL,1,49
1081,AL,7,1485
1083,AL,3,665
1085,AL,1,269
1087,AL,1,56
1089,AL,25,5073
1091,AL,2,191
1095,AL,1,180
1097,AL,36,8892
1099,AL,1,349
1101,AL,20,3352
1103,AL,4,594
1105,AL,1,59
1107,AL,1,234
1109,AL,2,496
1111,AL,1,49
1113,AL,2,101
1115,AL,4,445
1117,AL,13,1943
1119,AL,1,7
1121,AL,2,39
1123,AL,1,79
1125,AL,8,2395
1127,AL,1,10
1131,AL,1,220
2020,AK,14,1384
2060,AK,1,4
2070,AK,1,15
2090,AK,9,626
2110,AK,3,70
2122,AK,2,142
2130,AK,3,64
2150,AK,2,121
2170,AK,5,282
2188,AK,1,1
2220,AK,1,19
2240,AK,3,88
4001,AZ,3,354
4003,AZ,3,484
4005,AZ,5,272
4007,AZ,3,364
4013,AZ,151,25221
4015,AZ,3,278
4017,AZ,10,755
4019,AZ,50,7589
4021,AZ,3,349
4023,AZ,1,303
4025,AZ,12,1292
4027,AZ,5,1251
5001,AR,2,152
5005,AR,1,113
5007,AR,10,1319
5009,AR,3,29
5011,AR,1,9
5015,AR,2,66
5023,AR,1,13
5027,AR,1,182
5029,AR,1,13
5031,AR,4,306
5035,AR,2,275
5037,AR,1,1
5045,AR,2,858
5047,AR,1,4
5051,AR,6,249
5055,AR,2,305
5057,AR,2,245
5059,AR,1,27
5069,AR,1,162
5073,AR,1,40
5077,AR,2,233
5083,AR,2,239
5085,AR,1,25
5091,AR,1,227
5103,AR,1,78
5107,AR,3,345
5109,AR,1,16
5115,AR,2,194
5119,AR,31,8907
5121,AR,1,84
5123,AR,1,87
5125,AR,3,138
5131,AR,9,1073
5139,AR,2,160
5143,AR,9,1765
5145,AR,7,896
6001,CA,120,19600
6005,CA,2,44
6007,CA,9,819
6009,CA,1,70
6011,CA,1,91
6013,CA,88,14138
6015,CA,2,48
6017,CA,9,899
6019,CA,23,3619
6021,CA,2,133
6023,CA,12,601
6025,CA,8,1337
6027,CA,1,5
6029,CA,30,4396
6031,CA,4,402
6033,CA,5,152
6035,CA,2,24
6037,CA,747,130361
6039,CA,5,362
6041,CA,35,6894
6043,CA,1,7
6045,CA,4,375
6047,CA,12,1143
6049,CA,2,29
6053,CA,19,3640
6055,CA,18,4261
6057,CA,8,636
6059,CA,247,43771
6061,CA,20,1947
6063,CA,2,28
6065,CA,95,12393
6067,CA,81,13627
6069,CA,5,289
6071,CA,85,11714
6073,CA,185,29244
6075,CA,85,23116
