COUNTYFIPS,COUNTY,STATE,PRIV_SCHOOLS,ENROLLMENT
1001,AUTAUGA,AL,6,625
1003,BALDWIN,AL,9,1707
1005,BARBOUR,AL,2,346
1007,BIBB,AL,1,120
1009,BLOUNT,AL,2,135
1011,BULLOCK,AL,1,100
1013,BUTLER,AL,1,481
1015,CALHOUN,AL,6,887
1017,CHAMBERS,AL,4,497
1021,CHILTON,AL,1,167
1023,CHOCTAW,AL,2,543
1025,CLARKE,AL,1,196
1027,CLAY,AL,2,237
1031,COFFEE,AL,2,217
1035,CONECUH,AL,1,230
1041,CRENSHAW,AL,1,172
1043,CULLMAN,AL,5,572
1045,DALE,AL,1,60
1047,DALLAS,AL,3,653
1049,DEKALB,AL,2,386
1051,ELMORE,AL,5,1407
1053,ESCAMBIA,AL,3,337
1055,ETOWAH,AL,5,896
1065,HALE,AL,1,192
1067,HENRY,AL,1,215
1069,HOUSTON,AL,5,1123
1071,JACKSON,AL,2,106
1073,JEFFERSON,AL,52,6552
1077,LAUDERDALE,AL,4,859
1079,LAWRENCE,AL,1,49
1081,LEE,AL,7,1485
1083,LIMESTONE,AL,3,665
1085,LOWNDES,AL,1,269
1087,MACON,AL,1,56
1089,MADISON,AL,25,5073
1091,MARENGO,AL,2,191
1095,MARSHALL,AL,1,180
1097,MOBILE,AL,36,8892
1099,MONROE,AL,1,349
1101,MONTGOMERY,AL,20,3352
1103,MORGAN,AL,4,594
1105,PERRY,AL,1,59
1107,PICKENS,AL,1,234
1109,PIKE,AL,2,496
1111,RANDOLPH,AL,1,49
1113,RUSSELL,AL,2,101
1115,ST. CLAIR,AL,4,445
1117,SHELBY,AL,13,1943
1119,GREENE,AL,1,7
1121,TALLADEGA,AL,2,39
1123,TALLAPOOSA,AL,1,79
1125,TUSCALOOSA,AL,8,2395
1127,WALKER,AL,1,10
1131,WILCOX,AL,1,220
2020,ANCHORAGE,AK,14,1384
2060,BRISTOL BAY,AK,1,4
2070,DILLINGHAM,AK,1,15
2090,FAIRBANKS NORTH STAR,AK,9,626
2110,JUNEAU,AK,3,70
2122,KENAI PENINSULA,AK,2,142
2130,KETCHIKAN GATEWAY,AK,3,64
2150,KODIAK ISLAND,AK,2,121
2170,MATANUSKA-SUSITNA,AK,5,282
2188,NORTHWEST ARCTIC,AK,1,1
2220,SITKA,AK,1,19
2240,SOUTHEAST FAIRBANKS,AK,3,88
4001,APACHE,AZ,3,354
4003,COCHISE,AZ,3,484
4005,COCONINO,AZ,5,272
4007,GILA,AZ,3,364
4013,LEON,FL,1,25221
4013,MARICOPA,AZ,151,25221
4015,MOHAVE,AZ,3,278
4017,NAVAJO,AZ,10,755
4019,PIMA,AZ,50,7589
4021,PINAL,AZ,3,349
4023,SANTA CRUZ,AZ,1,303
4025,YAVAPAI,AZ,12,1292
4027,YUMA,AZ,5,1251
5001,ARKANSAS,AR,2,152
5005,BAXTER,AR,1,113
5007,BENTON,AR,10,1319
5009,BOONE,AR,3,29
5011,BRADLEY,AR,1,9
5015,CARROLL,AR,2,66
5023,CLEBURNE,AR,1,13
5027,COLUMBIA,AR,1,182
5029,CONWAY,AR,1,13
5031,CRAIGHEAD,AR,4,306
5035,CRITTENDEN,AR,2,275
5037,CROSS,AR,1,1
5045,FAULKNER,AR,2,858
5047,FRANKLIN,AR,1,4
5051,GARLAND,AR,6,249
5055,GREENE,AR,2,305
5057,HEMPSTEAD,AR,2,245
5059,HOT SPRING,AR,1,27
5069,JEFFERSON,AR,1,162
5073,LAFAYETTE,AR,1,40
5077,LEE,AR,2,233
5083,LOGAN,AR,2,239
5085,LONOKE,AR,1,25
5091,MILLER,AR,1,227
5103,OUACHITA,AR,1,78
5107,PHILLIPS,AR,3,345
5109,PIKE,AR,1,16
5115,POPE,AR,2,194
5119,PULASKI,AR,31,8907
5121,RANDOLPH,AR,1,84
5123,ST. FRANCIS,AR,1,87
5125,SALINE,AR,3,138
5131,SEBASTIAN,AR,9,1073
5139,UNION,AR,2,160
5143,WASHINGTON,AR,9,1765
5145,WHITE,AR,7,896
6001,ALAMEDA,CA,119,19600
6001,SAN MATEO,CA,1,19600
6005,AMADOR,CA,2,44
6007,BUTTE,CA,9,819
6009,CALAVERAS,CA,1,70
6011,COLUSA,CA,1,91
6013,CONTRA COSTA,CA,88,14138
6015,DEL NORTE,CA,2,48
6017,EL DORADO,CA,9,899
6019,FRESNO,CA,23,3619
6021,GLENN,CA,2,133
6023,HUMBOLDT,CA,12,601
6025,IMPERIAL,CA,8,1337
6027,INYO,CA,1,5
6029,KERN,CA,30,4396
6031,KINGS,CA,4,402
6033,LAKE,CA,5,152
6035,LASSEN,CA,2,24
6037,LOS ANGELES,CA,745,130361
6037,ORANGE,CA,2,130361
6039,MADERA,CA,5,362
6041,MARIN,CA,35,6894
6043,MARIPOSA,CA,1,7
6045,MENDOCINO,CA,4,375
6047,MERCED,CA,12,1143
6049,MODOC,CA,2,29
6053,MONTEREY,CA,19,3640
6055,NAPA,CA,18,4261
6057,NEVADA,CA,7,636
6057,PLACER,CA,1,636
6059,ORANGE,CA,247,43771
6061,PLACER,CA,20,1947
6063,PLUMAS,CA,2,28
6065,RIVERSIDE,CA,95,12393
6067,LASSEN,CA,1,13627
6067,SACRAMENTO,CA,80,13627
6069,SAN BENITO,CA,5,289
6071,SAN BERNARDINO,CA,85,11714
6073,SAN DIEGO,CA,185,29244
6075,SAN FRANCISCO,CA,85,23116
6077,SAN JOAQUIN,CA,28,4728
6079,SAN LUIS OBISPO,CA,19,1801
6081,CONTRA COSTA,CA,1,14972
6081,SAN FRANCISCO,CA,1,14972
6081,SAN MATEO,CA,67,14972
6083,SANTA BARBARA,CA,28,3738
6085,ALAMEDA,CA,1,33310
6085,SANTA CLARA,CA,167,33310
6087,SANTA CRUZ,CA,25,4376
6089,SHASTA,CA,9,964
6093,SISKIYOU,CA,3,68
6095,SOLANO,CA,15,3206
6097,SONOMA,CA,31,4290
6099,STANISLAUS,CA,17,2098
6101,SUTTER,CA,3,262
6103,TEHAMA,CA,3,143
6107,TULARE,CA,12,1898
6109,TUOLUMNE,CA,4,388
6111,VENTURA,CA,55,11839
6113,YOLO,CA,11,1500
6115,YUBA,CA,1,40
8001,ADAMS,CO,17,1305
8001,JACKSON,MO,1,1305
8003,ALAMOSA,CO,1,6
8005,ARAPAHOE,CO,29,5343
8013,BOULDER,CO,23,2135
8014,BROOMFIELD,CO,9,1196
8015,CHAFFEE,CO,2,79
8029,DELTA,CO,2,8
8031,BROOMFIELD,CO,1,6803
8031,DENVER,CO,40,6803
8031,DOUGLAS,CO,1,6803
8031,JEFFERSON,CO,1,6803
8035,ARAPAHOE,CO,1,3515
8035,DOUGLAS,CO,18,3515
8037,EAGLE,CO,5,860
8041,EL PASO,CO,25,3267
8043,FREMONT,CO,2,40
8045,GARFIELD,CO,5,581
8049,GRAND,CO,2,57
8059,JEFFERSON,CO,30,3150
8065,LAKE,CO,1,96
8067,LA PLATA,CO,7,371
