,sedacounty,sedacountyname,totenrl,perecd,sesavgall,urban,suburb,town,rural,rswhtblk,sesavgwhtblk
0,01001,Autauga County,4481.4,0.47015727,0.1306650936603546,0.0,0.0,0.0,1.0,0.1166546,2.579826354980469
1,01003,Baldwin County,13603.3,0.47472197,0.3902990520000458,0.0,0.0,0.0,1.0,0.11370799,2.395447015762329
2,01005,Barbour County,1836.6,0.75906885,-1.591195344924927,0.0,0.0,0.0,1.0,0.096476786,3.525609970092773
3,01007,Bibb County,1588.0,0.65608144,-0.2263438552618027,0.0,0.0,0.30000001,0.69999999,0.11325602,1.677046179771423
4,01009,Blount County,4490.1,0.54848951,0.0823660045862198,0.0,0.0,0.0,1.0,0.022942489,1.330556988716125
5,01011,Bullock County,679.2,0.90355998,-1.972190499305725,0.0,0.0,1.0,0.0,0.00030545166,-66.0
6,01013,Butler County,1457.6,0.80772454,-1.150268793106079,0.0,0.0,0.89999998,0.1,0.11174919,2.815286874771118
7,01015,Calhoun County,8435.7,0.62560076,-0.7328755259513855,0.39561966,0.23850952,0.064825945,0.30104488,0.34753853,2.873589038848877
8,01017,Chambers County,2156.7,0.75884008,-0.7700934410095215,0.0,0.0,1.0,0.0,0.27231413,2.450474262237549
9,01019,Cherokee County,1883.9,0.64853495,-0.3722047805786133,0.0,0.0,0.0,1.0,0.042786773,1.769931674003601
10,01021,Chilton County,3632.1,0.64817512,-0.5884742140769958,0.0,0.0,0.0,1.0,0.027538728,2.393366098403931
11,01023,Choctaw County,766.4,0.78098023,-1.30879008769989,0.0,0.0,0.0,1.0,0.10187352,2.981523990631104
12,01025,Clarke County,2006.7,0.69648534,-1.224869728088379,0.0,0.0,0.28546783,0.7145322,0.042268518,3.149275779724121
13,01027,Clay County,952.4,0.69276881,-0.5723220705986023,0.0,0.0,0.0,1.0,0.0082452334,1.897870063781738
14,01029,Cleburne County,1193.6,0.62249178,-0.611876368522644,0.0,0.0,0.0,1.0,0.047510475,2.448645353317261
